catalogid,id,name,categories,mfgid,manufacturer,distributor,cost,price,price2,price3,saleprice,onsale,stock,stock_alert,display_stock,weight,minimumorder,maximumorder,date_created,description,extended_description,keywords,sorting,thumbnail,image1,image2,image3,image4,realmedia,related,accessories,shipcost,imagecaption1,imagecaption2,imagecaption3,imagecaption4,title,metatags,displaytext,eproduct_password,eproduct_random,eproduct_expire,eproduct_path,eproduct_serial,eproduct_instructions,homespecial,categoryspecial,hide,free_shipping,nontax,notforsale,giftcertificate,userid,last_update,extra_field_1,extra_field_2,extra_field_3,extra_field_4,extra_field_5,extra_field_6,extra_field_7,extra_field_8,extra_field_9,extra_field_10,extra_field_11,extra_field_12,extra_field_13,usecatoptions,qtyoptions,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,hide_1,hide_2,hide_3,hide_4,hide_5,hide_6,hide_7,hide_8,hide_9,hide_10,minorderpkg,listing_displaytype,show_out_stock,pricing_groupopt,qtydiscount_opt,loginlevel,redirectto,accessgroup,self_ship,tax_code,eproduct_reuseserial,nonsearchable,instock_message,outofstock_message,backorder_message,height,width,depth,reward_points,reward_disable,reward_redeem,filename,fractional_qty,gtin
217,TK96,"TK96 Toe Kick 4.5"" x 96""",Trim & Details/Moldings & Trim@Trim & Details/Panels & Toe Kick,TK96,Timberland Cabinetry,,18.33,30,30,0,0,0,0,0,,5,1,0,11/15/2006,Toe Kick,"Toe Kick 96"" x 4.5"" x .25"" ",Toe Kick,0,assets/images/_img_89_thumbnail.jpg,assets/images/_img_89.jpg,,,,,,,0,Toe Kick,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,12/3/2015 15:20,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,1,4,94,0,0,0,,0,
542,4WCT3,4WCT3 Cutlery Tray Insert 21 to 24 Inch,Cabinet Accessories,4WCT3,Timberland Cabinetry,,0,45,45,0,0,0,0,0,,0,1,0,1/26/2011,"REV A SHELF CUTLERY TRAY INSERT. TRIMMABLE TO FIT. FITS 21"" TO 24"" DRAWERS",,,0,assets/images/00879443_thumbnail.jpg,assets/images/00879443.jpg,,,,,,,0,Cutlary Tray Insert,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:30,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
543,4WCT312,4WCT3 Cutlery Tray Insert 12 to 18 Inch,Cabinet Accessories,4WCT312,Timberland Cabinetry,,0,40,40,0,0,0,0,0,,0,1,0,1/26/2011,"REV A SHELF CUTLERY TRAY INSERT. TRIMMABLE TO FIT. FITS 12"" TO 18"" DRAWERS","REV A SHELF CUTLERY TRAY INSERT. BIRCH/MAPLE HARDWOOD W/UV-CURED CLEAR FINISH. DROP IN INSTALLATION, TRIMMABLE TO FIT. FITS 12"" TO 18"" DRAWERS",,0,assets/images/00879443_thumbnail.jpg,assets/images/00879443.jpg,,,,,,,0,Cutlary Tray Insert,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:30,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
322,BSPRK5,"5"" Pull Out Spice Rack For BFH9",Cabinet Accessories,BSPRK5,Timberland Cabinetry,,75,175,175,0,0,0,0,0,,5,1,0,11/15/2006,"5"" Wide Base Pull Out Spice Rack To BFH9 (Cabinet Not Included)","5"" Wide Base Pull Out Spice Rack, Price Does Not Include The Cabinet Only The Spice Rack. This Can Be Added To A BFH9.",Posts,0,assets/images/01396068_thumbnail.jpg,assets/images/01396068.jpg,,,,,,,0,Door Mount Base Pull Out Spice Rack For BFH9,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:37,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,30,5,24,0,0,0,,,
341,BSPRK8,"8"" Pull Out Spice Rack For BFH12",Cabinet Accessories,BSPRK8,Timberland Cabinetry,,84,195,195,0,0,0,0,0,,5,1,0,11/15/2006," 8"" Wide Base Pull Out Spice Rack To BFH12 (Cabinet Not Included)","5"" Wide Base Pull Out Spice Rack, Price Does Not Include The Cabinet Only The Spice Rack. This Can Be Added To A BFH12.",Posts,0,assets/images/01396068_thumbnail.jpg,assets/images/01396068.jpg,,,,,,,0,Door Mount Base Pull Out Spice Rack For BFH12,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 13:30,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,30,8,24,0,0,0,,,
513,DAG24,DAG24 Diagonal Appliance Garage,Wall Cabinets/Specialty Wall Cabinets,DAG24,Timberland Cabinetry,,199.28,320,320,0,0,0,0,0,,35,1,0,11/15/2006,24 Diagonal Appliance Garage,"24"" Diagonal Appliance Garage",Appliance Garage,0,assets/images/014621391_thumbnail.jpg,assets/images/014621391.jpg,,,,,,,0,Diagonal Appliance Garage,,,,RTA Kichen Cabinets,"<META NAME=""DESCRIPTION"" CONTENT=""RTA Kitchen Cabinets Online, Wholesale Kitchen Cabinets, Buy RTA Cabinets Online, Maple RTA Cabinets""> <META NAME=""ABSTRACT"" CONTENT=""RTA Cabinets, Maple Cabinets, Wholesale Cabinets, Buy Cabinets Online""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,3/20/2013 12:32,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,18,24,12,0,0,0,,0,
544,BFSPRK3,SPRK3 3 Inch Base Filler Pull Out Spice Rack,Cabinet Accessories,BFSPRK3,Timberland Cabinetry,,0,135,135,0,0,0,0,0,,0,1,0,1/26/2011,"REV-A-SHELF 3"" BASE FILLER 3""W X 23""D X 30""H.","REV-A-SHELF 3"" BASE FILLER 3""W X 23""D X 30""H. ",,0,assets/images/01465697_thumbnail.jpg,assets/images/01465697.jpg,,,,,,,0,Filler Pull Out Spice Rack,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:31,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
545,BFSPRK6,6 Inch Base Filler Pull Out Spice Rack,Cabinet Accessories,BFSPRK6,Timberland Cabinetry,,0,135,135,0,0,0,0,0,,0,1,0,1/26/2011,"REV-A-SHELF 6"" BASE FILLER PULL OUT SPICE RACK 6""W X 23""D X 30""H.","REV-A-SHELF 6"" Base Filler Pull Out Spice Rack 6""W X 23""D X 30""H.(FILLER NOT INCLUDED)",,0,assets/images/01465697_thumbnail.jpg,assets/images/01465697.jpg,,,,,,,0,Filler Pull Out Spice Rack,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:31,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
653,9WTD,9 Inch Wood Tray Divider BFH9,Cabinet Accessories,9WTD,Timberland Cabinetry,,0,110,110,0,0,0,0,0,,10,1,0,6/14/2012,"9"" Wood Tray Divider For BFH9 (Cabinet not Included)","9"" Wood Tray Divider",,0,assets/images/014878511_thumbnail.jpg,assets/images/014878511.jpg,,,,,,,0,Wood Tray Divider,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/17/2013 14:32,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
655,15WTD-2,"11"" Cookie Sheet Wood Tray Divider For BFH15",Cabinet Accessories,15WTD,Timberland Cabinetry,,0,120,120,0,0,0,0,0,,10,1,0,6/14/2012,"11"" Wood Tray Divider For BFH15 (Cabinet Not Included)","15"" Wood Tray Divider",,0,assets/images/014878511_thumbnail.jpg,assets/images/014878511.jpg,,,,,,,0,Wood Tray Divider,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,2/23/2015 15:20,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,,0,0,,,,0,0,0,0,0,0,,,
