id,optionid,productid,catalogid,featurecaption,featurecaption_id,featuretype,featurerequired,sorting,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty
1,3349,B15,8,Add Pull Out Trash Can,,DropImage,0,5,15330,Add Pull Out Trash Can,145,1,TRS15,assets/images/trashpullout_thumbnail.jpg,0,0,0,1
2,3349,B15,8,Add Pull Out Trash Can,,DropImage,0,5,15332,Do Not Add Trash Can Pull Out,0,0,NDTRSH,,0,0,0,1
3,3350,B15,8,Add Roll Out Tray,,Dropdown,0,6,15331,Add 1 ROTB15,50,1,ROTB15,,0,0,0,1
4,3350,B15,8,Add Roll Out Tray,,Dropdown,0,6,15333,Do Not Add Roll Out Trays,0,0,DNART,,0,0,0,1
5,3350,B15,8,Add Roll Out Tray,,Dropdown,0,6,32892,Add 2 ROTB15,100,2,ROTB15,,0,0,0,1
6,3819,B15,8,Cabinet Assembly,,Dropdown,0,3,19131,Standard Finish Base / Wall Cabinet Assembly,30,2,ASSR,,0,0,0,1
7,3819,B15,8,Cabinet Assembly,,Dropdown,0,3,19132,Standard Finish Utility / Oven Cabinet Assembly,60,3,ASST,,0,0,0,1
8,3819,B15,8,Cabinet Assembly,,Dropdown,0,3,19133,No Assembly / Customer Will Assemble Upon Receipt,0,0,CAS,,0,0,0,1
9,3818,B15,8,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19127,Left Side Exposed,0,1,LSF,,0,0,0,1
10,3818,B15,8,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19128,Right Side Exposed,0,2,RSF,,0,0,0,1
11,3818,B15,8,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19129,No Side Exposed,0,0,NSF,,0,0,0,1
12,3818,B15,8,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19130,Both Side Exposed,0,3,BSF,,0,0,0,1
13,3820,B15,8,Hinge Direction,,Dropdown,0,4,19134,Hinge Right,0,0,HR,,0,0,0,1
14,3820,B15,8,Hinge Direction,,Dropdown,0,4,19135,Hinge Left,0,1,HL,,0,0,0,1
15,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33530,French Vanilla Deluxe With Charcoal Glaze Price Includes Assembly,115,16,FVCG,assets/images/JobPics/fv_chrkl_copy.jpg,0,0,0,1
16,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33531,French Vanilla Deluxe With Chocolate Glaze Price Includes Assembly,115,19,FVCHG,assets/images/JobPics/fv_choc.jpg,0,0,0,1
17,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33532,French Vanilla Deluxe With Pewter Glaze Price Includes Assembly,115,18,FVPG,assets/images/JobPics/fv_pwtr_copy.jpg,0,0,0,1
