catalogid,id,weight,minimumorder,maximumorder,date_created,description,extended_description,keywords,sorting,thumbnail,image1,image2,image3,image4,realmedia,related,accessories,shipcost,imagecaption1,imagecaption2,imagecaption3,imagecaption4,title,metatags,displaytext,eproduct_password,eproduct_random,eproduct_expire,eproduct_path,eproduct_serial,eproduct_instructions,homespecial,categoryspecial,hide,free_shipping,nontax,notforsale,giftcertificate,userid,last_update,extra_field_1,extra_field_2,extra_field_3,extra_field_4,extra_field_5,extra_field_6,extra_field_7,extra_field_8,extra_field_9,extra_field_10,extra_field_11,extra_field_12,extra_field_13,usecatoptions,qtyoptions,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,hide_1,hide_2,hide_3,hide_4,hide_5,hide_6,hide_7,hide_8,hide_9,hide_10,minorderpkg,listing_displaytype,show_out_stock,pricing_groupopt,qtydiscount_opt,loginlevel,redirectto,accessgroup,self_ship,tax_code,eproduct_reuseserial,nonsearchable,instock_message,outofstock_message,backorder_message,height,width,depth,reward_points,reward_disable,reward_redeem,filename,fractional_qty,gtin
8,B15,50,1,0,11/15/2006,"15"" Single Door Base Cabinet 24"" Deep","Single Door/Drawer Base Cabinet 15"" Wide",Single Door Base Cabinet,1,assets/images/2010cabinetimages/b15_thumbnail.jpg,assets/images/2010cabinetimages/b15.jpg,,,,,,,0,Single Door Base Cabinet,,,,Base Cabinet,"<META NAME=""DESCRIPTION"" CONTENT=""RTA Kitchen Cabinets Online, Wholesale Kitchen Cabinets, Buy RTA Cabinets Online, Maple RTA Cabinets""> <META NAME=""ABSTRACT"" CONTENT=""RTA Cabinets, Maple Cabinets, Wholesale Cabinets, Buy Cabinets Online""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/7/2015 13:26,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,-1,0,1,0,0,,,,36,15,24,0,0,0,rta_base_cabinet.html,0,
9,B18,35,1,0,11/15/2006,"18"" Single Door Base Cabinet 24"" Deep","18"" Single Door/Drawer Base Cabinet",,2,assets/images/2010cabinetimages/b15_thumbnail.jpg,assets/images/2010cabinetimages/b15.jpg,,,,,,,0,Single Door Base Cabinet,,,,,"<META NAME=""DESCRIPTION"" CONTENT=""RTA Kitchen Base Cabinets, Base Kitchen Cabinets, Buy RTA Bae Cabinets Online, Maple RTA Cabinets""> <META NAME=""ABSTRACT"" CONTENT=""RTA Cabinets, Maple Cabinets, Wholesale Cabinets, Buy Cabinets Online""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker"">",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,1/7/2015 14:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,-1,0,1,0,0,,,,34,18,24,0,0,0,,0,
10,B21,75,1,0,11/15/2006,"21"" Single Door/Drawer Base Cabinet 24"" Deep","21"" Single Door/Drawer Base Cabinet",Single Door Base Cabinet,3,assets/images/2010cabinetimages/b15_thumbnail.jpg,assets/images/2010cabinetimages/b15.jpg,,,,,,,0,Single Door Base Cabinet,,,,,"<META NAME=""DESCRIPTION"" CONTENT=""RTA Kitchen Cabinets Online, Wholesale Kitchen Cabinets, Buy RTA Cabinets Online, Maple RTA Cabinets""> <META NAME=""ABSTRACT"" CONTENT=""RTA Cabinets, Maple Cabinets, Wholesale Cabinets, Buy Cabinets Online""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker"">",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,21,4,0,0,0,,0,
11,B24,75,1,0,11/15/2006,Single Door Base Cabinet,Single Door Base Cabinet,Single Door Base Cabinet,4,assets/images/2010cabinetimages/b15_thumbnail.jpg,assets/images/2010cabinetimages/b15.jpg,,,,,,,0,Single Door Base Cabinet,,,,Online Cabinets Direct,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,1,0,0,1,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,1,,,,0,0,0,0,0,0,www.onlinecabinetsdirect.com,0,
12,B24BD,75,1,0,11/15/2006,"24"" Double Door/Single Drawer Base Cabinet 24"" Deep","Double Door/Single Drawer Base Cabinet 24"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,5,assets/images/2010cabinetimages/b36bd_thumbnail.jpg,assets/images/2010cabinetimages/b36bd.jpg,,,,,,,0,"24"" Wide Double Door Base Cabinet",,,,,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,24,4,0,0,0,,0,
13,B27BD,75,1,0,11/15/2006,"27"" Double Door/Single Drawer Base Cabinet 24"" Deep","Double Door/Single Drawer Base Cabinet 27"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,6,assets/images/2010cabinetimages/b36bd_thumbnail.jpg,assets/images/2010cabinetimages/b36bd.jpg,,,,,,,0,"27"" Wide Double Door Base Cabinet",,,,,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,9/9/2015 16:04,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,27,4,0,0,0,,0,
14,B30BD,75,1,0,11/15/2006,"30"" Double Door/Single Drawer Base Cabinet 24"" Deep","Double Door/Single Drawer Base Cabinet 30"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,7,assets/images/2010cabinetimages/b36bd_thumbnail.jpg,assets/images/2010cabinetimages/b36bd.jpg,,,,,,,0,"30"" Wide Double Door Base Cabinet",,,,Online Cabinets Direct,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,30,4,0,0,0,,0,
15,B33BD,75,1,0,11/15/2006,"33"" Double Door/Single Drawer Base Cabinet 24"" Deep","Double Door/Single Drawer Base Cabinet 33"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,8,assets/images/2010cabinetimages/b36bd_thumbnail.jpg,assets/images/2010cabinetimages/b36bd.jpg,,,,,,,0,"33"" Wide Double Door Base Cabinet",,,,,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,33,4,0,0,0,,0,
16,B36BD,75,1,0,11/15/2006,"36"" Double Door/Single Drawer Base Cabinet 24"" Deep","Double Door/Single Drawer Base Cabinet 36"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,9,assets/images/2010cabinetimages/b36bd_thumbnail.jpg,assets/images/2010cabinetimages/b36bd.jpg,,,,,,,0,"36"" Wide Double Door Base Cabinet",,,,,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,36,4,0,0,0,,0,
17,B39,75,1,0,11/15/2006,"39"" Double Door/Double Drawer Base Cabinet 24"" Deep","Double Door/Double Drawer Base Cabinet w/Center Mullion 39"" Wide x 34.5"" Tall",Butt Door Door Base Cabinet,10,assets/images/2010cabinetimages/b48_thumbnail.jpg,assets/images/2010cabinetimages/b48.jpg,,,,,,,0,Double Door Base Cabinet w/Center Mullion,,,,,"<META NAME=""DESCRIPTION"" CONTENT=""Buy RTA Kitchen Cabinets from www.onlinecabinetsdirect.com Wholesale RTA Cabinets at factory prices allows you to purchase quality kitchen cabinets, vanity cabinets and maple cabinets online.""> <META NAME=""ABSTRACT"" CONTENT=""Buy rta cabinets online,wholesale maple rta cabinets, kitchen cabinets""> <META NAME=""KEYWORDS"" CONTENT=""RTA Cabinet,RTA Kitchen Cabinets, Maple Cabinets, Kitchen Cabinets, buy kitchen cabinets, buy cabinets online, cabinets, rta cabinets, cabinet maker""> ",,,0,0,,0,,0,0,0,0,0,0,0,Online Cabinets Admin,5/26/2015 15:07,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,,,0,1,0,0,,,,36,39,4,0,0,0,,0,
